iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"2,574,078,602.01"
Shares Outstanding,"17,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","9.32","176.86","1,356,276.00","239,870,973.36","239,870,973.36","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.63","112.21","1,979,767.00","222,149,655.07","222,149,655.07","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.66","267.60","736,599.00","197,113,892.40","197,113,892.40","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.77","187.20","930,601.00","174,208,507.20","174,208,507.20","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.21","152.50","1,047,397.00","159,728,042.50","159,728,042.50","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","5.94","237.84","642,883.00","152,903,292.72","152,903,292.72","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.29","47.59","1,779,531.00","84,687,880.29","84,687,880.29","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.28","165.29","511,331.00","84,517,900.99","84,517,900.99","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.27","97.16","867,624.00","84,298,347.84","84,298,347.84","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","3.11","26.34","3,036,577.00","79,983,438.18","79,983,438.18","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","2.91","220.16","340,437.00","74,950,609.92","74,950,609.92","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC.","Equity","2.69","200.24","345,956.00","69,274,229.44","69,274,229.44","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS HOLDINGS INC. C","Equity","2.38","57.92","1,057,058.00","61,224,799.36","61,224,799.36","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"BEAV","B E AEROSPACE INC","Equity","2.34","64.11","939,152.00","60,209,034.72","60,209,034.72","Industrials","2089427","US0733021010","NASDAQ"
"OA","ORBITAL ATK INC","Equity","2.18","98.00","573,620.00","56,214,760.00","56,214,760.00","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"HXL","HEXCEL CORP.","Equity","2.05","54.55","965,485.00","52,667,206.75","52,667,206.75","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.02","47.60","1,090,405.00","51,903,278.00","51,903,278.00","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC.","Equity","1.90","126.46","387,374.00","48,987,316.04","48,987,316.04","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"CW","CURTISS-WRIGHT CORP.","Equity","1.79","91.26","505,973.00","46,175,095.98","46,175,095.98","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HEI.A","HEICO CORP. CL A","Equity","1.51","75.00","519,110.00","38,933,250.00","38,933,250.00","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ESL","ESTERLINE TECHNOLOGIES CORP.","Equity","1.45","86.05","434,433.00","37,382,959.65","37,382,959.65","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC.","Equity","1.43","97.09","379,205.00","36,817,013.45","36,817,013.45","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"MOG.A","MOOG INC. CL A","Equity","1.36","67.35","519,353.00","34,978,424.55","34,978,424.55","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.35","44.70","778,519.00","34,799,799.30","34,799,799.30","Industrials","BT6T3G0","US4825391034","NASDAQ"
"DGI","DIGITALGLOBE INC.","Equity","1.32","32.75","1,034,001.00","33,863,532.75","33,863,532.75","Industrials","B0V0257","US25389M8771","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC.","Equity","1.26","39.05","833,249.00","32,538,373.45","32,538,373.45","Industrials","2144047","US5893781089","NASDAQ"
"HEI","HEICO CORP.","Equity","1.25","87.20","367,928.00","32,083,321.60","32,083,321.60","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.14","21.70","1,356,519.00","29,436,462.30","29,436,462.30","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"CUB","CUBIC CORP.","Equity","1.05","52.80","512,131.00","27,040,516.80","27,040,516.80","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"TGI","TRIUMPH GROUP INC.","Equity","1.02","25.75","1,021,451.00","26,302,363.25","26,302,363.25","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"TASR","TASER INTERNATIONAL INC.","Equity","0.99","22.79","1,119,805.00","25,520,355.95","25,520,355.95","Industrials","2767198","US87651B1044","NASDAQ"
"AOBC","AMERICAN OUTDOOR BRANDS CORP","Equity","0.96","19.81","1,242,659.00","24,617,074.79","24,617,074.79","Consumer Discretionary","BD8ZGK9","US02874P1030","NASDAQ"
"AIR","AAR CORP.","Equity","0.93","33.63","715,500.00","24,062,265.00","24,062,265.00","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"RGR","STURM RUGER INC CO","Equity","0.91","53.55","437,310.00","23,417,950.50","23,417,950.50","Consumer Discretionary","2856289","US8641591081","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.83","34.63","615,643.00","21,319,717.09","21,319,717.09","Information Technology","2825308","US5645631046","NASDAQ"
"ATRO","ASTRONICS CORP.","Equity","0.75","31.73","606,183.00","19,234,186.59","19,234,186.59","Industrials","2060518","US0464331083","NASDAQ"
"WAIR","WESCO AIRCRAFT HOLDINGS INC.","Equity","0.72","11.40","1,621,622.00","18,486,490.80","18,486,490.80","Industrials","B3Y05W3","US9508141036","New York Stock Exchange Inc."
"AVAV","AEROVIRONMENT INC.","Equity","0.68","28.03","628,799.00","17,625,235.97","17,625,235.97","Industrials","B1P5YY8","US0080731088","NASDAQ"
"KTOS","KRATOS DEFENSE & SECURITY SOLUTION","Equity","0.68","7.78","2,255,261.00","17,545,930.58","17,545,930.58","Industrials","2512149","US50077B2079","NASDAQ"
"EGL","ENGILITY HOLDINGS INC","Equity","0.62","28.94","553,212.00","16,009,955.28","16,009,955.28","Industrials","BVWVSS1","US29286C1071","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.06","1.00","1,562,511.00","1,562,510.83","1,562,510.83","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","-0.02","100.00","-549,859.00","-549,859.21","-549,859.21","Cash and/or Derivatives","-","-","-"
 
