As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Aug 28, 2017","32,334.54",166.69,--,"22,850,000.00"
"Aug 25, 2017","32,376.74",166.91,--,"22,850,000.00"
"Aug 24, 2017","32,410.13",167.08,--,"22,750,000.00"
"Aug 23, 2017","32,333.64",166.69,--,"22,500,000.00"
"Aug 22, 2017","32,515.26",167.63,--,"22,350,000.00"
"Aug 21, 2017","32,136.89",165.68,--,"22,350,000.00"
"Aug 18, 2017","32,116.40",165.58,--,"22,350,000.00"
"Aug 17, 2017","32,153.31",165.77,--,"22,350,000.00"
"Aug 16, 2017","32,609.00",168.12,--,"22,350,000.00"
"Aug 15, 2017","32,601.77",168.08,--,"22,050,000.00"
"Aug 14, 2017","32,757.79",168.89,--,"21,900,000.00"
"Aug 11, 2017","32,414.14",167.13,--,"21,900,000.00"
"Aug 10, 2017","32,349.68",166.80,--,"21,750,000.00"
"Aug 09, 2017","32,642.47",168.30,--,"21,700,000.00"
"Aug 08, 2017","32,641.64",168.30,--,"21,650,000.00"
"Aug 07, 2017","32,658.76",168.39,--,"21,450,000.00"
"Aug 04, 2017","32,559.81",167.89,--,"21,300,000.00"
"Aug 03, 2017","32,512.66",167.65,--,"21,200,000.00"
"Aug 02, 2017","32,285.99",166.48,--,"21,150,000.00"
"Aug 01, 2017","32,061.65",165.33,--,"21,100,000.00"
"Jul 31, 2017","31,969.65",164.85,--,"21,000,000.00"
"Jul 28, 2017","32,118.24",165.62,--,"21,000,000.00"
"Jul 27, 2017","31,822.00",164.10,--,"21,000,000.00"
"Jul 26, 2017","31,878.54",164.39,--,"20,950,000.00"
"Jul 25, 2017","31,875.46",164.38,--,"20,950,000.00"
"Jul 24, 2017","31,839.91",164.20,--,"20,950,000.00"
"Jul 21, 2017","31,802.20",164.01,--,"20,950,000.00"
"Jul 20, 2017","31,707.53",163.52,--,"20,850,000.00"
"Jul 19, 2017","31,747.21",163.73,--,"20,750,000.00"
"Jul 18, 2017","31,486.35",162.39,--,"20,700,000.00"
"Jul 17, 2017","31,624.67",163.10,--,"20,600,000.00"
"Jul 14, 2017","31,605.32",163.01,--,"20,550,000.00"
"Jul 13, 2017","31,432.27",162.11,--,"20,450,000.00"
"Jul 12, 2017","31,464.77",162.28,--,"20,450,000.00"
"Jul 11, 2017","31,320.75",161.54,--,"20,400,000.00"
"Jul 10, 2017","31,160.97",160.72,--,"20,300,000.00"
"Jul 07, 2017","31,094.72",160.39,--,"20,100,000.00"
"Jul 06, 2017","31,094.72",158.59,--,"20,050,000.00"
"Jul 05, 2017","30,746.96",159.88,--,"19,950,000.00"
"Jul 03, 2017","30,692.99",158.32,--,"19,950,000.00"
"Jun 30, 2017","30,491.68",157.29,--,"19,950,000.00"
"Jun 29, 2017","30,289.99",156.25,--,"19,900,000.00"
"Jun 28, 2017","30,563.02",157.66,--,"19,850,000.00"
"Jun 27, 2017","30,127.40",155.41,0.38,"19,800,000.00"
"Jun 26, 2017","30,313.48",156.75,--,"19,800,000.00"
"Jun 23, 2017","30,475.58",157.60,--,"19,750,000.00"
"Jun 22, 2017","30,360.68",157.00,--,"19,750,000.00"
"Jun 21, 2017","30,483.28",157.64,--,"19,750,000.00"
"Jun 20, 2017","30,612.31",158.31,--,"19,650,000.00"
"Jun 19, 2017","30,871.92",159.65,--,"19,600,000.00"
"Jun 16, 2017","30,622.13",158.36,--,"19,600,000.00"
"Jun 15, 2017","30,704.78",158.79,--,"19,600,000.00"
"Jun 14, 2017","30,632.64",158.42,--,"19,600,000.00"
"Jun 13, 2017","30,594.84",158.23,--,"19,500,000.00"
"Jun 12, 2017","30,393.51",157.19,--,"19,500,000.00"
"Jun 09, 2017","30,562.53",158.07,--,"19,450,000.00"
"Jun 08, 2017","30,512.27",157.81,--,"19,450,000.00"
"Jun 07, 2017","30,264.51",156.53,--,"19,500,000.00"
"Jun 06, 2017","30,292.04",156.67,--,"19,450,000.00"
"Jun 05, 2017","30,538.45",157.95,--,"19,350,000.00"
"Jun 02, 2017","30,843.37",159.53,--,"19,350,000.00"
"Jun 01, 2017","30,628.98",158.42,--,"19,350,000.00"
"May 31, 2017","30,517.73",157.85,--,"19,350,000.00"
"May 30, 2017","30,328.19",156.87,--,"19,300,000.00"
"May 26, 2017","30,468.87",157.60,--,"19,200,000.00"
"May 25, 2017","30,456.18",157.54,--,"19,300,000.00"
"May 24, 2017","30,188.56",156.16,--,"19,050,000.00"
"May 23, 2017","29,965.56",155.01,--,"18,950,000.00"
"May 22, 2017","29,868.68",154.51,--,"18,850,000.00"
"May 19, 2017","29,597.65",153.12,--,"18,750,000.00"
"May 18, 2017","29,150.71",150.81,--,"18,650,000.00"
"May 17, 2017","29,189.30",151.01,--,"18,650,000.00"
"May 16, 2017","29,739.61",153.86,--,"18,600,000.00"
"May 15, 2017","29,719.01",153.75,--,"18,650,000.00"
"May 12, 2017","29,545.39",152.86,--,"18,650,000.00"
"May 11, 2017","29,702.03",153.67,--,"18,600,000.00"
"May 10, 2017","29,707.37",153.70,--,"18,600,000.00"
"May 09, 2017","29,827.93",154.33,--,"18,600,000.00"
"May 08, 2017","29,809.07",154.23,--,"18,600,000.00"
"May 05, 2017","29,838.82",154.39,--,"18,600,000.00"
"May 04, 2017","29,572.65",153.01,--,"18,600,000.00"
"May 03, 2017","29,555.52",152.93,--,"18,600,000.00"
"May 02, 2017","29,669.53",153.52,--,"18,500,000.00"
"May 01, 2017","29,579.00",153.05,--,"18,500,000.00"
"Apr 28, 2017","29,702.84",153.70,--,"18,500,000.00"
"Apr 27, 2017","29,826.87",154.34,--,"18,400,000.00"
"Apr 26, 2017","29,762.59",154.01,--,"18,300,000.00"
"Apr 25, 2017","29,696.62",153.67,--,"18,200,000.00"
"Apr 24, 2017","29,634.37",153.35,--,"18,050,000.00"
"Apr 21, 2017","29,240.94",151.32,--,"17,950,000.00"
"Apr 20, 2017","29,096.32",150.57,--,"17,950,000.00"
"Apr 19, 2017","28,872.31",149.42,--,"17,900,000.00"
"Apr 18, 2017","28,846.25",149.28,--,"17,700,000.00"
"Apr 17, 2017","28,909.99",149.61,--,"17,650,000.00"
"Apr 13, 2017","28,534.08",147.70,--,"17,600,000.00"
"Apr 12, 2017","28,701.00",148.54,--,"17,600,000.00"
"Apr 11, 2017","29,106.19",150.64,--,"17,600,000.00"
"Apr 10, 2017","28,925.38",149.70,--,"17,400,000.00"
"Apr 07, 2017","28,892.58",149.54,--,"17,250,000.00"
"Apr 06, 2017","28,677.36",148.43,--,"17,250,000.00"
"Apr 05, 2017","28,469.85",147.35,--,"17,250,000.00"
"Apr 04, 2017","28,727.32",148.69,--,"17,250,000.00"
"Apr 03, 2017","28,631.13",148.19,--,"17,300,000.00"
"Mar 31, 2017","28,746.27",148.79,--,"17,300,000.00"
"Mar 30, 2017","28,852.66",149.34,--,"17,300,000.00"
"Mar 29, 2017","28,674.63",148.42,--,"17,300,000.00"
"Mar 28, 2017","28,706.04",148.59,--,"17,350,000.00"
"Mar 27, 2017","28,404.13",147.03,--,"17,450,000.00"
"Mar 24, 2017","28,444.57",147.24,0.31,"17,500,000.00"
"Mar 23, 2017","28,689.70",148.83,--,"17,500,000.00"
"Mar 22, 2017","28,675.51",148.75,--,"17,500,000.00"
"Mar 21, 2017","28,695.00",148.86,--,"17,450,000.00"
"Mar 20, 2017","29,289.34",151.94,--,"17,450,000.00"
